"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000000489"	8.01577	7.93526	8.15521	8.74682	8.56123	8.91133	7.79009	8.230165	7.42829	7.16388	7.33281	7.280735	6.95848	7.883935	7.16686	7.214395	8.21603	7.879495
"ENSMUSG00000000530"	8.49865	8.31302	8.26582	8.863585	8.72811	8.99137	8.18534	8.618575	8.086295	8.14507	8.646625	8.37808	8.152155	8.72756	8.59201	8.14821	8.46556	8.354785
"ENSMUSG00000000531"	8.84071	8.84821	8.656215	8.829455	8.1293	8.724265	8.37632	8.875865	8.326925	8.17523	8.207395	8.400055	8.313855	8.55746	8.28247	8.113865	8.708325	8.474855
"ENSMUSG00000000532"	10.3531	10.50024	10.34865	9.14019	9.07351	8.94896	10.50773	10.46193	10.68114	10.311	9.9265	10.38857	10.45223	9.33843	9.97023	10.35148	9.5703	9.66293
"ENSMUSG00000000538"	6.967755	6.94942	6.8854425	7.3151575	7.271045	7.33743	6.514255	6.8372225	6.5381825	6.7320475	7.34629	6.922645	6.87526	7.3970125	7.3336975	7.02003	7.4201475	7.3845525
"ENSMUSG00000000544"	5.109845	5.29156	5.23708	5.5878	5.537055	5.248705	5.21701	5.22797	5.181625	5.20855	5.24077	5.27275	5.23897	5.60639	5.156045	5.250245	5.389215	5.293795
"ENSMUSG00000000552"	8.71596	8.47618	8.2542	7.22713	7.47713	7.2903	8.11237	8.48116	8.10721	7.3042	7.29782	7.31931	7.44086	7.67424	7.63407	7.37983	7.19358	7.70644
"ENSMUSG00000000555"	9.57805	9.57219	9.24801	8.77743	8.58165	8.62281	9.41107	9.59168	9.40999	10.82452	11.77123	10.85886	10.20566	8.96991	11.95738	11.48359	8.69867	8.6806
"ENSMUSG00000000560"	3.81893333333333	3.77308666666667	3.68553666666667	5.14394	4.78071666666667	4.81292333333333	3.83261666666667	3.58574	3.98874	3.40610666666667	3.46355	3.39685666666667	3.26192333333333	4.91375666666667	3.56751333333333	3.37230333333333	4.87758333333333	4.75959333333333
"ENSMUSG00000000561"	8.69913	8.73123666666667	8.86543666666667	9.0067	9.05647333333333	9.25482666666667	9.06007333333333	8.92111333333333	8.79646666666667	8.86901666666667	9.00897	8.63239333333333	8.46879333333333	9.33242333333333	8.81254333333333	8.76781	9.2774	9.36537333333333
"ENSMUSG00000000562"	4.829	4.14687	4.39825	4.44276	4.00291	4.26755	4.61746	4.88845	4.38906	4.25566	4.29668	4.28018	4.60292	4.77716	3.97002	4.26933	4.43397	4.35905
"ENSMUSG00000000563"	13.133175	13.187995	13.137695	13.48707	13.426055	13.467245	12.928005	12.95696	12.840435	12.785115	12.9515	12.79764	12.77612	13.42762	13.0009	12.882815	13.46355	13.429205
"ENSMUSG00000000567"	7.503865	7.14149	7.456965	5.49424	5.78808	5.74484	7.936465	7.92457	7.489195	5.819875	6.03505	5.66537	5.774935	6.68208	5.59487	5.591095	6.852635	6.15752
"ENSMUSG00000000568"	8.86272	9.04457333333333	9.01309	9.02979333333333	9.01055	9.11730333333333	9.36626	9.01513	9.18632333333333	9.33437333333333	9.3135	9.31142	9.26066	8.83718	9.45576	9.37213333333333	8.87747333333333	8.72232666666667
"ENSMUSG00000000579"	13.03841	13.064435	12.896405	12.49145	12.60806	12.57173	13.128105	13.042025	13.035035	12.975835	13.12215	13.011735	13.05732	12.41181	13.183205	13.033435	12.47537	12.45139
"ENSMUSG00000000581"	7.84202666666667	7.87411666666667	8.01337	8.23203	8.18275	8.38385	8.03394	7.87253666666667	7.88357666666667	8.05528333333333	8.0226	7.9789	7.72033333333333	7.89358333333333	8.12971	8.04784333333333	7.95954	8.02191
"ENSMUSG00000000594"	9.47440333333333	9.46433	9.42690333333333	9.06292666666667	8.96326	8.94709666666667	9.33609	9.64832333333333	9.40916666666667	9.42615333333333	9.49387	9.30894	9.37477	8.74844666666667	9.65465666666667	9.34013666666667	9.06377666666667	9.12688666666667
